annee_numero_de_tirage;jour_de_tirage;date_de_tirage;date_de_forclusion;boule_1;boule_2;boule_3;boule_4;boule_5;numero_chance;combinaison_gagnante_en_ordre_croissant;nombre_de_gagnant_au_rang1;rapport_du_rang1;nombre_de_gagnant_au_rang2;rapport_du_rang2;nombre_de_gagnant_au_rang3;rapport_du_rang3;nombre_de_gagnant_au_rang4;rapport_du_rang4;nombre_de_gagnant_au_rang5;rapport_du_rang5;nombre_de_gagnant_au_rang6;rapport_du_rang6;numero_jokerplus;devise;Unnamed: 25;boule_6;boule_complementaire;nombre_de_gagnant_au_rang7;rapport_du_rang7;Unnamed: 28;nombre_de_gagnant_au_rang8;rapport_du_rang8;nombre_de_gagnant_au_rang9;rapport_du_rang9;nombre_de_codes_gagnants;rapport_codes_gagnants;codes_gagnants;Unnamed: 34
2009002;VENDREDI;13/03/2009;13/05/2009;14;12;9;34;6;6.0;6-9-12-14-34+6;2;7500000;9;98716,7;2134;760,7;86616;8,1;1099121;4,5;1422118;2;2 865 803;eur;;;;;;;;;;;;;;
2009003;VENDREDI;13/11/2009;13/01/2010;15;48;21;17;14;8.0;14-15-17-21-48+8;1;17000000;7;139895,3;1469;1215;70527;11,1;1060707;5,3;1566827;2;6 805 243;eur;;;;;;;;;;;;;;
2010001;VENDREDI;13/08/2010;13/10/2010;32;19;41;29;43;5.0;19-29-32-41-43+5;1;13000000;3;343262,9;1337;1254,9;59786;12,1;874054;5,9;1667953;2;6 479 963;eur;;;;;;;;;;;;;;
2010002;VENDREDI;24/12/2010;23/02/2011;43;38;25;42;21;9.0;21-25-38-42-43+9;1;10000000;4;158730,9;838;1234,4;37919;11,8;574154;5,5;832674;2;6 613 705;eur;;;;;;;;;;;;;;
2010003;VENDREDI;31/12/2010;02/03/2011;23;8;30;15;1;7.0;1-8-15-23-30+7;1;10000000;16;51094,7;1903;699,9;70269;8,2;866581;4,7;1540381;2;6 355 494;eur;;;;;;;;;;;;;;
2011001;VENDREDI;01/04/2011;01/06/2011;29;28;39;45;19;8.0;19-28-29-39-45+8;0;0;3;155462;868;1156,3;40208;10,8;571077;5,4;848437;2;1 322 688;eur;;;;;;;;;;;;;;
2011002;VENDREDI;13/05/2011;13/07/2011;34;16;11;45;39;8.0;11-16-34-39-45+8;0;0;1;580575,6;994;1257;44816;12;667807;5,7;1074688;2;6 140 477;eur;;;;;;;;;;;;;;
2012001;VENDREDI;13/01/2012;14/03/2012;19;44;22;33;46;8.0;19-22-33-44-46+8;3;4333334;3;265615,8;1629;1052,7;70705;10,5;964006;5,5;1479895;2;6 642 196;eur;;;;;;;;;;;;;;
2012002;VENDREDI;13/04/2012;13/06/2012;36;34;8;15;3;8.0;3-8-15-34-36+8;1;13000000;8;91393,1;1312;1199,3;60934;11,1;910731;5,3;1392119;2;4 085 137;eur;;;;;;;;;;;;;;
2012003;VENDREDI;13/07/2012;12/09/2012;42;27;47;16;49;8.0;16-27-42-47-49+8;0;0;5;117403,2;989;1277,4;46571;11,7;687845;5,6;1154692;2;8 928 846;eur;;;;;;;;;;;;;;
2012004;VENDREDI;12/10/2012;12/12/2012;49;45;13;20;48;3.0;13-20-45-48-49+3;0;0;2;113389,9;422;1156,5;20210;10,4;284816;5,3;429633;2;5 525 261;eur;;;;;;;;;;;;;;
2013001;VENDREDI;05/04/2013;05/06/2013;32;7;12;14;47;9.0;7-12-14-32-47+9;1;16000000;1;329205,5;708;1000,7;31127;9,8;446542;4,9;582609;2;9 714 710;eur;;;;;;;;;;;;;;
2013002;VENDREDI;13/09/2013;13/11/2013;36;7;14;49;19;10.0;7-14-19-36-49+10;1;13000000;5;148973,3;1700;942,9;71021;9,7;996960;4,9;1204776;2;8 610 432;eur;;;;;;;;;;;;;;
2013003;VENDREDI;13/12/2013;12/02/2014;32;16;6;1;41;1.0;1-6-16-32-41+1;1;16000000;5;140518,5;1258;1201,9;57155;11,4;861551;5,4;1125583;2;3 997 967;eur;;;;;;;;;;;;;;
2014001;VENDREDI;14/02/2014;16/04/2014;44;47;24;8;18;7.0;8-18-24-44-47+7;0;0;3;133048,6;838;1025;36207;10,2;513835;5,1;944151;2;0 769 558;eur;;;;;;;;;;;;;;
2014002;VENDREDI;13/06/2014;13/08/2014;40;48;46;42;3;4.0;3-40-42-46-48+4;0;0;2;285091,2;1073;1143,6;40029;13,2;623275;6;1022217;2;7 453 000;eur;;;;;;;;;;;;;;
2015001;VENDREDI;13/02/2015;15/04/2015;5;37;32;19;23;8.0;5-19-23-32-37+8;5;2600000;13;52044,4;1477;985,8;63332;9,9;875680;5,1;1268458;2;1 802 344;eur;;;;;;;;;;;;;;
2015002;VENDREDI;13/03/2015;13/05/2015;20;9;34;13;1;6.0;1-9-13-20-34+6;1;13000000;6;108005,2;1965;709,7;77369;7,8;961875;4,4;1280039;2;0 803 951;eur;;;;;;;;;;;;;;
2015003;VENDREDI;13/11/2015;13/01/2016;9;39;10;27;1;3.0;1-9-10-27-39+3;0;0;4;149465,6;1374;936,4;62061;8,9;842142;4,7;1124676;2;9 704 714;eur;;;;;;;;;;;;;;
2016001;VENDREDI;13/05/2016;13/07/2016;44;15;42;46;3;7.0;3-15-42-44-46+7;1;15000000;4;165231,4;1026;1386,3;51501;11,9;777686;5,6;1582651;2;8 401 556;eur;;;;;;;;;;;;;;
2016002;VENDREDI;16/09/2016;16/11/2016;23;31;14;7;36;2.0;7-14-23-31-36+2;1;13550865;2;251668,5;1158;935,4;48738;9,6;670731;5;851371;2;3 872 999;eur;;;;;;;;;;;;;;
2017001;VENDREDI;13/01/2017;15/03/2017;10;12;30;24;6;2.0;6-10-12-24-30+2;0;0;14;47971;2970;486,6;89335;7;1014094;4,4;1162890;2;5 163 249;eur;;;;;;;;;;;;;;
2017001;VENDREDI;13/10/2017;13/12/2017;21;39;8;40;37;7.0;8-21-37-39-40+7;0;13000000;8;150000;152;2000;992;1000;5680;100;43706;50;1 461 214;eur;;;;87170.0;20;;650249.0;10;1405128.0;3;50.0;20000;Q 9022 9093,I 7575 4477,V 8240 1557,M 5246 4807,P 2631 7435,M 7825 9747,Q 8279 0516,T 2395 8890,V 5700 2862,L 7899 8484,F 8561 5421,U 5092 0299,V 8230 4212,O 3435 8367,T 9024 8505,R 4169 1758,S 5543 6896,U 4636 4272,B 5746 2741,I 2831 6903,F 6815 1549,A 1520 0775,M 0261 5554,N 8980 6462,S 8930 8894,D 6661 5621,V 5331 2637,S 3907 0092,N 2256 5125,I 7339 9323,K 8950 6790,M 8803 5490,Q 5099 6506,V 0128 6998,H 4721 2905,C 2255 2842,A 3040 8994,C 4912 8367,R 6206 4390,S 1473 6593,R 5031 2023,R 2989 0739,R 9350 3801,Q 4293 0497,O 5804 4800,D 3955 8748,C 9389 6938,C 8182 1935,J 3873 6957,E 4446 9447;
